<titre>|<auteurs>|<editeur>|<annee/copyright>|<isbn-10>|<isbn-13>|<lang>|<cote>
Jim Henson's Tale of Sand|Jim Henson, Jerry Juhl|paquet|2012||9782888905479|fr|
Jour J - T1 Les Russes sur la Lune !|Duval, Pécau, Buchet|Delcourt|||9782756018669|fr|
Jour J - T2 Paris, secteur soviétique|Duval, Pécau, Séjourné|Delcourt|||9782756018683|fr|
Jour J - T3 Septembre rouge|Duval, Pécau, Calvez|Delcourt|||9782756018645|fr|
Jour J - T4 Octobre noir|Duval, Pécau, Calvez|Delcourt|||9782756020112|fr|
Jour J - T5 Qui a tué le président|Duval, Pécau, Wilson|Delcourt|||9782756018676|fr|
Jour J - T6 L'imagination au pouvoir|Duval, Pécau, Mr Fab|Delcourt|2011||9782756024783|fr|
Kador (1)|Binet|Les albums Fluide Glacial|1984|2858150443||fr|
Kador (2) |Binet|Les albums Fluide Glacial|1985|2858150400||fr|
Kenya - T1 Apparitions|Rodolphe, Léo|Dargaud|||9782205051971|fr|
Kenya - T2 Rencontres|Rodolphe, Léo|Dargaud|||9782205053357|fr|
Kenya - T3 Aberrations|Rodolphe, Léo|Dargaud|||9782205054996|fr|
Kenya - T4 Interventions|Rodolphe, Léo|Dargaud|||9782205057126|fr|
Kick-Ass - T1 Le premier VRAI super-héros|Mark Millar, John Romita Jr.|Panini  Comics|||9782809409994|fr|
Kick-Ass - T2 Brume Rouge|Mark Millar, John Romita Jr.|Panini  Comics|||9782809415605|fr|
Kid Paddle (4)|Midam|Dupuis|1998|2800127449|9782800127446|fr|
Kookaburra (1) Planète Dakoï|Crisse|Soleil|||9782877645638|fr|
L'Appel de l'Espace|Will Eisner|Delcourt|||9782756022086|fr|
L'arche (2) Frankenstein|Félix, Mallié, Rieu|Soleil|||9782845656574|fr|
L'Armure du Jakolass - Valérian par Manu Larcenet|Manu Larcenet|Dargaud|2011||9782205067583|fr|
L'Art de la BD - T1 Du scénario à la réalisation|Duc|Glénat|||9782723402521|fr|
L'Art de la BD - T2 La Technique du dessin|Duc|Glénat|||9782723403900|fr|
L'Art Invisible|Scott McCloud|Vertige Graphic|||9782908981414|fr|
L'aventure Cousteau - Le galion englouti|Sérafini, Paccalet|Robert Laffont|||9782221051504|fr|
L'aventure Cousteau - Les pièges de la mer|Sérafini, Paccalet|Robert Laffont|||9782221052716|fr|
L'aventure Cousteau - L'île aux requins|Sérafini, Paccalet|Robert Laffont|||9782221045008|fr|
L'écume des jours|Morvan, Marion Mousse|Delcourt|||9782756021638|fr|
La bande à Tchô (bleu)|(nombreux auteurs)|Glénat pour BP France||||fr|
La bande à Tchô (orange)|(nombreux auteurs)|Glénat pour BP France||||fr|
La bande à Tchô (violet)|(nombreux auteurs)|Glénat pour BP France||||fr|
La Guerre Eternelle - Edition intégrale|Marvano, Haldeman|Dupuis||280012640X|9782800126401|fr|
La légende de robin des bois|Manu Larcenet|Dargaud|||9782205054965|fr|
La Loi des Séries|Manu Larcenet|Fluide Glacial|||9782858150571|fr|
